"filename", "language", "JavaScript React", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\sad sad\Desktop\React\app\src\components\JobActions\EditJob.js", "JavaScript", 0, 371, 0, 0, 14, 385
"c:\Users\sad sad\Desktop\React\app\src\components\Jobs\Background.js", "JavaScript", 0, 102, 0, 0, 6, 108
"c:\Users\sad sad\Desktop\React\app\src\components\Jobs\Dashboard.js", "JavaScript", 0, 121, 0, 0, 10, 131
"c:\Users\sad sad\Desktop\React\app\src\components\Jobs\JobDetails.js", "JavaScript", 0, 87, 0, 0, 9, 96
"c:\Users\sad sad\Desktop\React\app\src\components\Jobs\JobEditor.js", "JavaScript", 0, 43, 0, 0, 6, 49
"c:\Users\sad sad\Desktop\React\app\src\components\Jobs\JobList.js", "JavaScript", 0, 148, 0, 0, 8, 156
"c:\Users\sad sad\Desktop\React\app\src\components\UserJob\UserDashboard.js", "JavaScript", 0, 61, 0, 0, 5, 66
"c:\Users\sad sad\Desktop\React\app\src\components\UserJob\UserJobList.js", "JavaScript", 0, 178, 0, 0, 14, 192
"c:\Users\sad sad\Desktop\React\app\src\components\UserSettings\Router.js", "JavaScript", 0, 99, 0, 0, 12, 111
"c:\Users\sad sad\Desktop\React\app\src\components\UserSettings\Text.js", "JavaScript", 0, 27, 0, 0, 5, 32
"c:\Users\sad sad\Desktop\React\app\src\components\User\Login.js", "JavaScript", 0, 104, 0, 0, 6, 110
"c:\Users\sad sad\Desktop\React\app\src\components\User\Logout.js", "JavaScript", 0, 13, 0, 0, 12, 25
"c:\Users\sad sad\Desktop\React\app\src\components\User\Profile.js", "JavaScript", 0, 118, 0, 0, 12, 130
"c:\Users\sad sad\Desktop\React\app\src\components\User\RecoverPassword.js", "JavaScript", 0, 88, 0, 0, 6, 94
"c:\Users\sad sad\Desktop\React\app\src\components\User\Settings.js", "JavaScript", 0, 131, 0, 118, 25, 274
"c:\Users\sad sad\Desktop\React\app\src\components\User\Signup.js", "JavaScript", 0, 123, 0, 0, 7, 130
"c:\Users\sad sad\Desktop\React\app\src\components\User\VerifyEmail.js", "JavaScript", 0, 42, 0, 0, 6, 48
"c:\Users\sad sad\Desktop\React\app\src\i18n\LanguageChanger.js", "JavaScript", 0, 18, 0, 0, 4, 22
"c:\Users\sad sad\Desktop\React\app\src\i18n\i18n.js", "JavaScript", 0, 16, 0, 0, 7, 23
