"filename", "language", "JavaScript React", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\sad sad\Desktop\React\app\src\App.js", "JavaScript", 0, 98, 0, 6, 10, 114
"c:\Users\sad sad\Desktop\React\app\src\Firebase\Firebase.js", "JavaScript", 0, 14, 0, 0, 3, 17
"c:\Users\sad sad\Desktop\React\app\src\assets\style\GlobalStyle.js", "JavaScript", 0, 28, 0, 0, 8, 36
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\Logo.svg", "XML", 0, 0, 12, 0, 1, 13
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\accept.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\account.svg", "XML", 0, 0, 42, 1, 1, 44
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\document.svg", "XML", 0, 0, 100, 1, 1, 102
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\documents.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\home.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\it.svg", "XML", 0, 0, 76, 1, 1, 78
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\jobedit.svg", "XML", 0, 0, 122, 0, 1, 123
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\joblvl.svg", "XML", 0, 0, 50, 1, 1, 52
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\jobtime.svg", "XML", 0, 0, 51, 1, 1, 53
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\jobtype.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\logout.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\loupe.svg", "XML", 0, 0, 42, 1, 1, 44
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\mail.svg", "XML", 0, 0, 43, 1, 1, 45
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\marker.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\money.svg", "XML", 0, 0, 51, 1, 1, 53
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\newuser.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\next.svg", "XML", 0, 0, 41, 1, 1, 43
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\office.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\settings.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\suitcase.svg", "XML", 0, 0, 47, 1, 1, 49
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\talk.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\trash.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\user.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\wallet.svg", "XML", 0, 0, 53, 1, 1, 55
"c:\Users\sad sad\Desktop\React\app\src\components\Background.js", "JavaScript", 0, 28, 0, 0, 1, 29
"c:\Users\sad sad\Desktop\React\app\src\components\Footer\Footer.js", "JavaScript", 0, 12, 0, 0, 3, 15
"c:\Users\sad sad\Desktop\React\app\src\components\Form\BackgroundImage.js", "JavaScript", 0, 69, 0, 0, 5, 74
"c:\Users\sad sad\Desktop\React\app\src\components\Form\Button.js", "JavaScript", 0, 54, 0, 0, 2, 56
"c:\Users\sad sad\Desktop\React\app\src\components\Form\DeleteButton.js", "JavaScript", 0, 33, 0, 0, 4, 37
"c:\Users\sad sad\Desktop\React\app\src\components\Form\FormStyles.js", "JavaScript", 0, 146, 0, 0, 15, 161
"c:\Users\sad sad\Desktop\React\app\src\components\Form\InputUser.js", "JavaScript", 0, 46, 0, 0, 2, 48
"c:\Users\sad sad\Desktop\React\app\src\components\Form\Message.js", "JavaScript", 0, 28, 0, 0, 4, 32
"c:\Users\sad sad\Desktop\React\app\src\components\Form\Reference.js", "JavaScript", 0, 23, 0, 0, 5, 28
"c:\Users\sad sad\Desktop\React\app\src\components\Form\Select.js", "JavaScript", 0, 48, 0, 0, 4, 52
"c:\Users\sad sad\Desktop\React\app\src\components\Form\TextArea.js", "JavaScript", 0, 46, 0, 0, 3, 49
"c:\Users\sad sad\Desktop\React\app\src\components\Form\index.js", "JavaScript", 0, 8, 0, 0, 4, 12
"c:\Users\sad sad\Desktop\React\app\src\components\Jobs\Attribute.js", "JavaScript", 0, 25, 0, 0, 4, 29
"c:\Users\sad sad\Desktop\React\app\src\components\Jobs\JobDetails\About.js", "JavaScript", 0, 42, 0, 0, 4, 46
"c:\Users\sad sad\Desktop\React\app\src\components\Jobs\JobDetails\Attribute.js", "JavaScript", 0, 22, 0, 0, 5, 27
"c:\Users\sad sad\Desktop\React\app\src\components\Jobs\JobDetails\Header.js", "JavaScript", 0, 246, 0, 0, 11, 257
"c:\Users\sad sad\Desktop\React\app\src\components\Jobs\JobDetails\JobDetailStyles.js", "JavaScript", 0, 26, 0, 0, 3, 29
"c:\Users\sad sad\Desktop\React\app\src\components\Jobs\JobDetails\Requirements.js", "JavaScript", 0, 28, 0, 0, 4, 32
"c:\Users\sad sad\Desktop\React\app\src\components\Jobs\JobDetails\Responsibilities.js", "JavaScript", 0, 28, 0, 0, 4, 32
"c:\Users\sad sad\Desktop\React\app\src\components\Jobs\JobDetails\Technologies.js", "JavaScript", 0, 39, 0, 0, 5, 44
